event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-01 00:00:03+00:00,view,17200570,2053013559792632471,furniture.living_room.sofa,,437.33,518780843,aa806835-b14c-45af-9538-cd4d1849be3e
2019-11-01 00:00:03+00:00,view,16700260,2053013559901684381,furniture.kitchen.chair,,31.64,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:00:08+00:00,view,17200558,2053013559792632471,furniture.living_room.sofa,,591.78,566280536,34e7a822-0b93-4a9a-8ce0-bae4cadb21d8
2019-11-01 00:00:12+00:00,view,16700826,2053013559901684381,furniture.kitchen.chair,nika,47.77,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:00:18+00:00,view,16700826,2053013559901684381,furniture.kitchen.chair,nika,47.77,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:00:26+00:00,view,16700690,2053013559901684381,furniture.kitchen.chair,mamadoma,34.75,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:00:41+00:00,purchase,13200605,2053013557192163841,furniture.bedroom.bed,,566.3,559368633,d6034fa2-41fb-4ac0-9051-55ea9fc9147a
2019-11-01 00:00:48+00:00,view,13600340,2053013557477376525,furniture.bathroom.bath,,70.27,518656487,a4fa3765-f630-436d-804d-cf768cee37de
2019-11-01 00:00:48+00:00,view,7100133,2053013555464110485,furniture.bedroom.bed,,136.4,517100968,f18bdf17-fef4-4b39-a569-fe942ee969f3
2019-11-01 00:01:06+00:00,view,16700384,2053013559901684381,furniture.kitchen.chair,,36.78,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:01:10+00:00,view,16900083,2053013558433677895,furniture.kitchen.table,brw,207.21,548719875,68bc6a85-ba5a-4688-a95f-bc506bcd1d40
2019-11-01 00:01:11+00:00,view,16700384,2053013559901684381,furniture.kitchen.chair,,36.78,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
2019-11-01 00:01:11+00:00,view,13200605,2053013557192163841,furniture.bedroom.bed,,566.3,559368633,d6034fa2-41fb-4ac0-9051-55ea9fc9147a
2019-11-01 00:01:20+00:00,view,13200605,2053013557192163841,furniture.bedroom.bed,,566.3,559368633,d6034fa2-41fb-4ac0-9051-55ea9fc9147a
2019-11-01 00:01:35+00:00,view,16800592,2053013558316237377,furniture.kitchen.table,komfort-s,39.36,529388957,f6835635-57e4-45f7-97e7-383abc59c152
2019-11-01 00:01:37+00:00,view,14701857,2053013557133443581,furniture.living_room.cabinet,,100.62,553810426,fbfa1599-912b-4d6a-8749-49a2ab78cdd7
2019-11-01 00:01:40+00:00,view,16700656,2053013559901684381,furniture.kitchen.chair,domini,30.89,566280676,c7bc5bdb-2660-4272-8c10-2b5ce9e0be20
